STATE,POPULATION
AL,5024272
AZ,7151502
AR,3011524
CA,39237836
CO,5812069
CT,3605944
DE,989948
FL,21781128
GA,10799566
IA,3193079
ID,1839106
IL,12812508
IN,6785528
KS,2937880
KY,4505836
LA,4657757
ME,1372247
MD,6177224
MA,7033469
MI,10050811
MN,5707390
MS,2961279
MO,6154910
MT,1084225
NE,1961504
NV,3177772
NH,1379883
NJ,9267130
NM,2117522
NY,19835913
NC,10551162
ND,779094
OH,11799448
OK,3986639
OR,4291870
PA,12964056
RI,1097379
SC,5217036
SD,919114
TN,6910840
TX,29527941
UT,3337975
VT,647064
VA,8642274
WA,7705281
WI,5893718
WV,1793716
WY,578803
