FERC_REGION,Transformer,Reactor,Circuit Breaker,Alt Energy,TOTAL
MISO,1472.0,251.0,2294.0,312.0,4329.0
PJM,2248.0,242.0,1468.0,294.0,4252.0
SERTP,1843.0,412.0,1082.0,495.0,3832.0
FRCC,476.0,65.0,1576.0,182.0,2299.0
SPP,524.0,75.0,1062.0,145.0,1806.0
WestConnect,477.0,29.0,523.0,63.0,1092.0
NorthernGridConnected,616.0,23.0,265.0,146.0,1050.0
CAISO,615.0,98.0,216.0,84.0,1013.0
WestConnectNonEnrolled,352.0,45.0,431.0,69.0,897.0
ISONE,232.0,67.0,408.0,35.0,742.0
ERCOT,239.0,32.0,132.0,118.0,521.0
SCRTP,252.0,49.0,70.0,40.0,411.0
NorthernGridUnconnected,134.0,12.0,121.0,34.0,301.0
NYISO,24.0,0.0,14.0,8.0,46.0
