model,architecture,final_mAP50,final_mAP50_95,ap50_alt_energy,ap50_circuit_breaker,ap50_control,ap50_power_lines,ap50_reactor,ap50_transformer
rfdetr-large,RF-DETR,0.8808,0.6321,0.9512,0.7585,1.0000,1.0000,0.8551,0.7203
rfdetr-base,RF-DETR,0.8257,0.5245,0.8587,0.6911,0.9980,1.0000,0.8453,0.5608
cascade_r50,Cascade R-CNN,0.3506,0.2187,0.2571,0.2409,0.6242,0.5927,0.1976,0.1912
cascade_r101,Cascade R-CNN,0.3352,0.1742,0.1643,0.3018,0.5897,0.5139,0.2381,0.2030
yolov8n,YOLOv8,0.6024,0.4016,0.6132,0.5841,0.7604,0.7356,0.5061,0.4150
yolov8s,YOLOv8,0.6227,0.4200,0.6400,0.6263,0.7392,1.0000,0.5208,0.4732
yolov8m,YOLOv8,0.6198,0.4184,0.6432,0.6189,0.7622,1.0000,0.5017,0.4694
yolov8l,YOLOv8,0.4925,0.3029,0.4922,0.4919,0.7346,1.0000,0.3647,0.1994
yolo11n,YOLOv11,0.6054,0.4007,0.6494,0.5736,0.7387,1.0000,0.5385,0.4257
yolo11s,YOLOv11,0.6030,0.3991,0.6469,0.6017,0.7603,1.0000,0.5019,0.3865
yolo11m,YOLOv11,0.5441,0.3414,0.5619,0.5209,0.7528,1.0000,0.4375,0.2889
yolo11l,YOLOv11,0.4521,0.2629,0.4628,0.4516,0.6382,1.0000,0.3000,0.1867
yolo12n,YOLOv12,0.5956,0.3919,0.6316,0.5723,0.7592,1.0000,0.4938,0.4108
yolo12s,YOLOv12,0.5547,0.3568,0.6025,0.5528,0.7251,1.0000,0.4547,0.3108
yolo12m,YOLOv12,0.4856,0.2950,0.5606,0.4575,0.7135,1.0000,0.3344,0.1755
yolo12l,YOLOv12,0.4224,0.2434,0.3803,0.4018,0.6913,1.0000,0.2665,0.1375
