model,map50_ci_lower,map50_ci_upper,map50_95_ci_lower,map50_95_ci_upper,alt_energy_ci_lower,alt_energy_ci_upper,circuit_breaker_ci_lower,circuit_breaker_ci_upper,control_ci_lower,control_ci_upper,power_lines_ci_lower,power_lines_ci_upper,reactor_ci_lower,reactor_ci_upper,transformer_ci_lower,transformer_ci_upper
rfdetr-base,0.7572,0.8840,0.4779,0.5720,0.6710,0.9745,0.4697,0.8822,0.9897,1.0000,1.0000,1.0000,0.7200,0.9365,0.3138,0.7628
rfdetr-large,0.8136,0.9382,0.5847,0.6791,0.8399,1.0000,0.5342,0.9620,1.0000,1.0000,1.0000,1.0000,0.7243,0.9515,0.4928,0.8917
cascade_r50,0.2865,0.4183,0.1752,0.2663,0.1165,0.4258,0.1340,0.3631,0.4183,0.8723,0.4443,0.7547,0.0910,0.3184,0.0539,0.3418
cascade_r101,0.2725,0.3956,0.1377,0.2144,0.0816,0.2614,0.1619,0.4951,0.3926,0.8444,0.3707,0.6758,0.1226,0.3654,0.0971,0.3077
yolov8n,0.5246,0.6814,0.3466,0.4576,0.4205,0.8206,0.3833,0.8016,0.5320,0.9485,0.5769,0.8816,0.3504,0.6548,0.2523,0.5991
yolov8s,0.5413,0.7009,0.3625,0.4773,0.4429,0.8500,0.4386,0.8384,0.5000,0.9478,0.5845,0.8810,0.3445,0.7024,0.3139,0.6632
yolov8m,0.5402,0.6933,0.3602,0.4720,0.4410,0.8484,0.4356,0.8253,0.5427,0.9626,0.5827,0.8805,0.3389,0.6651,0.3179,0.6361
yolov8l,0.4306,0.5549,0.2617,0.3456,0.3366,0.6777,0.3176,0.6978,0.5576,0.9220,0.5271,0.8210,0.2352,0.5046,0.1015,0.3161
yolo11n,0.5226,0.6886,0.3423,0.4590,0.4390,0.8604,0.3560,0.8100,0.5158,0.9538,0.5548,0.8540,0.3813,0.7023,0.2829,0.5833
yolo11s,0.5256,0.6775,0.3444,0.4508,0.4389,0.8438,0.4034,0.8298,0.5624,0.9463,0.5740,0.8810,0.3487,0.6595,0.2329,0.5528
yolo11m,0.4771,0.6098,0.2982,0.3857,0.3935,0.7457,0.3529,0.7347,0.5732,0.9341,0.5533,0.8632,0.2857,0.5915,0.1649,0.4184
yolo11l,0.3845,0.5216,0.2210,0.3107,0.2978,0.6489,0.2733,0.6533,0.4391,0.8831,1.0000,1.0000,0.1829,0.4197,0.0943,0.2789
yolo12n,0.5171,0.6722,0.3368,0.4438,0.4253,0.8221,0.3628,0.8117,0.5508,0.9605,1.0000,1.0000,0.3388,0.6584,0.2644,0.5727
yolo12s,0.4836,0.6284,0.3099,0.4072,0.4120,0.7984,0.3642,0.7911,0.5369,0.9444,1.0000,1.0000,0.3043,0.6076,0.1807,0.4548
yolo12m,0.4191,0.5503,0.2511,0.3371,0.3754,0.7515,0.2876,0.6664,0.5398,0.8950,1.0000,1.0000,0.1900,0.4865,0.0803,0.2789
yolo12l,0.3613,0.4809,0.2016,0.2864,0.2160,0.5852,0.2545,0.5873,0.5072,0.9077,1.0000,1.0000,0.1516,0.3731,0.0683,0.2028
