STATE,Transformer,Reactor,Circuit Breaker,Alt Energy,resolution,index_right,ALAND,AWATER
AL,149.0,66.0,103.0,58.0,790528,6562,50633182753038,1773024281444
AZ,333.0,25.0,409.0,28.0,512000,8750,73549637785750,256834400750
CA,642.0,98.0,216.0,91.0,1157120,9040,227979721191280,11562087610505
CO,325.0,46.0,494.0,60.0,495616,5082,64958339794062,285952425506
CT,18.0,2.0,68.0,3.0,63488,1705,388817409108,56284144701
DE,52.0,0.0,63.0,4.0,59392,1247,146331843734,40599583792
FL,501.0,72.0,1707.0,198.0,1308672,5751,88788498063750,20039743681497
GA,378.0,67.0,225.0,97.0,1249280,10980,91184049488620,2697991053940
IA,384.0,41.0,776.0,46.0,770048,12032,54392636759352,407651985312
ID,133.0,5.0,24.0,22.0,188416,736,19692580464628,220038475244
IL,263.0,28.0,436.0,8.0,598016,8468,41983925748836,1814728884816
IN,221.0,35.0,83.0,101.0,495616,12826,22455011247592,372196684618
KS,139.0,25.0,369.0,9.0,329728,4186,34092610393660,216406734005
KY,159.0,75.0,94.0,50.0,481280,11045,24035680307920,558204372425
MA,143.0,44.0,155.0,5.0,245760,840,2424615043680,855591058320
MD,212.0,17.0,176.0,7.0,245760,4800,3018132033600,837596034960
ME,22.0,9.0,95.0,14.0,75776,1517,2955834763369,434622341268
MI,93.0,14.0,49.0,21.0,276480,810,19791128653650,14024590519770
MN,115.0,32.0,287.0,28.0,395264,10422,39802185313464,3656426917477
MS,146.0,29.0,164.0,51.0,665600,0,39498393831325,1276248921350
MT,117.0,5.0,21.0,33.0,188416,2852,34680571966380,355967212544
NC,501.0,71.0,125.0,88.0,1087488,531,66865461369984,7150483910745
ND,105.0,0.0,75.0,29.0,239616,5967,20908781573121,515182303116
NE,47.0,11.0,66.0,37.0,239616,1170,23277929032215,160504008678
NH,29.0,9.0,43.0,7.0,90112,1496,1020334179304,45173710912
NJ,344.0,9.0,215.0,22.0,501760,9555,4666717365100,868490760270
NM,79.0,3.0,23.0,34.0,165888,972,25449900818481,59030898363
NV,131.0,3.0,63.0,41.0,235520,3220,32697893244050,235428698280
NY,11.0,0.0,4.0,5.0,43008,525,2563032145023,404186888595
OH,222.0,21.0,379.0,22.0,372736,8736,19260856627376,1868930827764
OK,55.0,29.0,371.0,17.0,317440,310,27537753487065,523061139535
OR,206.0,17.0,227.0,49.0,350208,8550,42511795849170,1058898165885
PA,511.0,51.0,200.0,64.0,692224,6422,39168941504498,1147371416620
RI,9.0,2.0,22.0,5.0,28672,644,37488918628,18531386818
SC,375.0,71.0,153.0,64.0,565248,9108,21490717502688,1400760382728
SD,56.0,0.0,31.0,19.0,145408,994,13940635706806,240173135975
TN,517.0,144.0,134.0,151.0,1355776,15226,70703406060456,1555781733830
TX,367.0,36.0,186.0,140.0,1457152,10680,481777058134344,13532489345120
UT,128.0,5.0,55.0,31.0,303104,3256,31507160808640,1035826010312
VA,461.0,82.0,148.0,108.0,819200,1200,40903086844000,3411412709600
VT,11.0,1.0,33.0,2.0,30720,450,358112639160,15456249750
WI,49.0,5.0,28.0,36.0,337920,8085,23147856554295,4841917040070
WV,41.0,6.0,34.0,6.0,57344,112,1743461286364,13692799204
WY,117.0,1.0,23.0,23.0,286720,3360,35204196285720,261473904300
