scope,series,n,mean,median,q1,q3,max,zero_fraction
All images,Overall,11085,2.038430311231394,1.0,0.0,3.0,29.0,0.33035633739287323
All images,Transformer,11085,0.8573748308525034,0.0,0.0,1.0,12.0,0.5406405051871899
All images,Reactor,11085,0.12629679747406405,0.0,0.0,0.0,10.0,0.9260261614794768
All images,Circuit Breaker,11085,0.8720793865584122,0.0,0.0,1.0,26.0,0.7179070816418583
All images,Alt Energy,11085,0.18267929634641408,0.0,0.0,0.0,16.0,0.8743346865133063
WestConnectNonEnrolled,Overall,300,2.99,2.0,1.0,4.0,16.0,0.21
WestConnect,Overall,369,2.959349593495935,2.0,1.0,4.0,17.0,0.17615176151761516
NorthernGridUnconnected,Overall,108,2.787037037037037,2.0,1.0,4.0,15.0,0.21296296296296297
NorthernGridConnected,Overall,559,1.8783542039355994,1.0,0.0,3.0,12.0,0.27549194991055453
SPP,Overall,1006,1.7952286282306162,1.0,0.0,2.0,18.0,0.4085487077534791
MISO,Overall,2005,2.1591022443890275,1.0,0.0,3.0,19.0,0.3201995012468828
FRCC,Overall,599,3.8380634390651087,2.0,1.0,6.0,22.0,0.18363939899833054
SCRTP,Overall,163,2.521472392638037,2.0,1.0,4.0,14.0,0.19631901840490798
NYISO,Overall,35,1.3142857142857143,1.0,0.0,2.0,6.0,0.42857142857142855
PJM,Overall,1745,2.436676217765043,2.0,0.0,4.0,29.0,0.2664756446991404
SERTP,Overall,2839,1.3497710461430081,1.0,0.0,2.0,22.0,0.3983797111659035
ISONE,Overall,258,2.875968992248062,2.0,0.0,4.0,26.0,0.3023255813953488
ERCOT,Overall,562,0.9270462633451957,0.0,0.0,1.0,14.0,0.5124555160142349
CAISO,Overall,535,1.8934579439252337,1.0,0.0,3.0,16.0,0.34392523364485983
